id_janela,acel_x_g,acel_y_g,acel_z_g,magnitude_media_g,magnitude_desvio_g,giro_x_dps,giro_y_dps,giro_z_dps,giro_rms_dps,jerk_max_g_s,postura
1,0.1265,1.2715,0.102,1.2819,0.1752,-26.27,-15.44,-7.07,37.51,6.149,caminhando
2,0.3602,0.8203,0.0309,0.8964,0.0526,0,-0.01,0.01,0.01,0.18,sentado
3,-0.0643,0.9031,0.0939,0.9102,0.0276,2.43,-1.53,0.52,2.84,0.355,em_pe
4,0.2927,0.9451,0.0808,0.9927,0.0258,-0.45,-1.15,-1,2.1,0.496,sentado
5,0.3638,0.9558,0.1399,1.0322,0.0134,0.26,-2.67,1.12,2.69,0.725,sentado
6,-0.0563,0.0561,0.9975,1.0007,0.0173,0.17,-0.24,-0.01,0.41,0.344,deitado
7,-0.0028,1.26,-0.0228,1.2602,0.3823,30.68,4.34,-15.35,25.78,7.584,caminhando
8,0.1329,0.0081,0.948,0.9573,0.0333,0.16,-1.34,1.31,2.81,0.737,deitado
9,0.1241,1.4417,0.1462,1.4544,0.2791,-82.06,-39.8,-29.3,53.93,8.747,caminhando
10,0.205,0.9225,0.0337,0.9457,0.0221,-0.82,-2.93,0.94,3.18,0.086,sentado
11,0.541,0.4976,0.5532,0.9199,0.8757,-163.42,-11.38,59.04,224.91,32.31,queda
12,0.2722,1.0238,0.1694,1.0728,0.0398,-1.31,2.21,0.31,2.5,0.503,sentado
13,0.4768,0.9482,0.1568,1.0728,0.029,3.39,0.71,-2.79,3.49,0.412,sentado
14,0.064,0.0973,0.896,0.9036,0.0288,-1.73,0.23,0.53,2.42,0.457,deitado
15,0.075,0.007,0.9771,0.98,0.0008,-0.59,0.02,-0.17,1.83,0.575,deitado
16,0.2018,0.9848,0.0792,1.0084,0.0068,0.16,0.92,-0.86,1.98,0.651,sentado
17,0.0465,0.1265,0.9193,0.9292,0.0382,0.04,-0.07,-0.1,0.18,0.059,deitado
18,-0.051,0.9572,0.093,0.963,0.0318,0.71,0.95,-0.19,1.79,0.453,em_pe
19,0.3381,0.8818,-0.0553,0.946,0.0321,-0.31,0.32,1.44,1.81,0.71,sentado
20,0.0581,0.8817,0.1529,0.8968,0.2997,-31.91,47.03,10.25,49.48,5.134,caminhando
21,0.089,1.0114,-0.0501,1.0166,0.0328,-0.16,-0.04,-0.14,0.21,0.454,em_pe
22,0.0819,0.1226,0.9808,0.9918,0.0056,-1.66,-2.58,1.83,2.53,0.184,deitado
23,-0.0357,0.9899,0.0063,0.9906,0.0224,1.04,-3.03,1.17,2.66,1.078,em_pe
24,0.0242,0.6341,0.2866,0.6963,0.2396,29.35,1.29,10.78,27.77,5.582,caminhando
25,0.1164,0.0324,1.0177,1.0248,0.023,-2.83,2.73,-1.82,2.65,0.117,deitado
26,-0.0255,1.0951,0.571,1.2353,0.2656,-30.06,-36.67,36.72,33.36,6.849,caminhando
27,0.2939,0.9021,-0.0305,0.9492,0.0394,1.13,-2.71,-0.92,3.24,0.325,sentado
28,0.0066,0.6807,0.2614,0.7292,0.2747,15.06,3.16,-46.79,48.91,7.56,caminhando
29,-0.0269,0.9871,-0.0717,0.9901,0.026,0.44,-1.06,2.19,3.34,0.271,em_pe
30,-0.0281,0.985,0.0165,0.9855,0.0188,-0.9,0.95,-0.04,2.36,0.441,em_pe
31,0.7064,0.4722,0.7004,1.1011,0.5689,-27.81,-20.85,3.55,169.25,20.445,queda
32,-0.0262,0.1153,0.8754,0.8833,0.0215,-1.34,-2.54,-1.74,3.17,0.243,deitado
33,0.2719,0.9552,0.1068,0.9989,0.0301,-0.48,-1.69,0.91,3.19,0.47,sentado
34,0.3549,0.904,0.0589,0.9729,0.0272,0.91,-0.04,0.79,3.54,0.573,sentado
35,0.0774,-0.0242,0.8916,0.8953,0.023,-0.23,0.06,0.17,1.16,0.43,deitado
36,0.3342,0.5532,0.1658,0.6672,0.9009,-96.81,-132.46,-29.53,140.21,26.383,queda
37,0.2808,0.8922,0.0308,0.9359,0.0143,-0.99,0.69,0.11,1.46,0.622,sentado
38,-0.0439,0.0007,1.0067,1.0076,0.0363,-0.05,0.11,0.12,0.32,0.308,deitado
39,-0.067,1.0698,0.026,1.0722,0.0192,0.66,-5.72,-0.37,3,0.487,em_pe
40,0.2292,0.8896,0.0991,0.924,0.0272,2.6,1.64,-1.63,2.39,0.206,sentado
41,0.018,0.7717,0.2438,0.8095,0.2065,7.21,3.16,-78.16,66.33,2.797,caminhando
42,0.0744,0.0408,0.9768,0.9804,0.0069,-0.41,-0.48,1.64,3.75,0.411,deitado
43,0.158,0.0336,0.964,0.9774,0.017,2.36,0.61,0.7,1.62,0.126,deitado
44,0.0865,1.3299,0.2708,1.3599,0.2566,1.83,55.39,37.71,53.81,6.779,caminhando
45,0.3132,0.9069,-0.0125,0.9596,0.0503,-0.72,-0.47,-0.36,1.42,0.307,sentado
46,-0.0363,0.7681,0.3131,0.8303,0.1313,-66.68,-16.74,-2.36,71.01,6.014,caminhando
47,0.0927,1.1776,-0.1467,1.1903,0.2422,11.73,24.34,11.61,34.51,3.915,caminhando
48,0.0294,-0.0407,1.0366,1.0378,0.0114,-0.42,-1.02,-0.07,1.11,0.248,deitado
49,0.3374,0.8415,0.016,0.9067,0.0333,-0.56,-1.21,1.05,2.97,0.437,sentado
50,0.0578,0.9584,0.0891,0.9642,0.0205,0.11,1.97,-3.87,3.21,0.635,em_pe
51,0.0327,0.0541,0.9934,0.9954,0.0259,0.43,0.61,1.01,1.31,0.204,deitado
52,0.2645,0.8917,0.0653,0.9324,0.0446,-1.24,-0.16,3.09,1.72,0.637,sentado
53,0.1195,0.0555,0.984,0.9928,0.0293,0.73,1.69,-1.28,2.54,0.234,deitado
54,-0.0254,0.9797,-0.0846,0.9837,0.0276,2.08,-0.64,0.14,3.25,0.883,em_pe
55,0.1489,0.9999,0.0794,1.014,0.0442,-5.57,-0.33,-0.94,5.66,0.518,em_pe
56,0.0959,0.6933,0.0114,0.7,0.2227,-24.29,24.61,29.23,46.19,6.735,caminhando
57,0.115,0.1352,1.0116,1.0271,0.0163,0.56,0.8,-0.05,1.34,0.233,deitado
58,0.1752,1.3537,-0.3041,1.3985,0.2223,25.62,-21.78,-4.03,43.32,4.518,caminhando
59,-0.0056,1.0413,-0.0049,1.0413,0.0353,-2.44,0.03,-2.28,3.16,0.745,em_pe
60,0.4057,1.0116,0.1343,1.0981,0.303,57.66,143.62,17.22,184.52,16.724,queda
61,0.8319,-0.0515,0.4838,0.9637,0.7133,-143.94,-3,3.07,151.31,54.125,queda
62,0.0292,0.0942,0.9665,0.9715,0.0178,-0.48,-0.71,-0.32,1.17,0.254,deitado
63,-0.0069,0.9386,0.0047,0.9386,0.044,4.79,2.24,-0.21,4.43,0.982,em_pe
64,0.0477,0.9733,0.125,0.9824,0.0275,0.85,-0.1,-1.41,2.66,0.563,em_pe
65,0.1313,0.1592,0.9487,0.9709,0.0314,-0.43,-0.41,-1.37,2.22,0.201,deitado
66,0.2191,0.984,0.4541,1.1056,0.1754,-45.85,5.8,16.15,47.53,7.299,caminhando
67,0.0267,0.7912,0.274,0.8377,0.1799,-10.85,35.37,-35.61,43.97,7.148,caminhando
68,-0.0497,0.9596,0.025,0.9613,0.0372,0.69,-0.1,-1.05,1.49,0.408,em_pe
69,0.0779,0.9753,0.0608,0.9803,0.0281,-3.77,1.94,-0.95,3.47,0.358,em_pe
70,0.3377,0.8916,0.0532,0.9549,0.0136,-0.61,-0.13,1.38,4.1,0.611,sentado
71,0.142,1.1041,0.1154,1.1191,0.1975,6.96,-20.03,27.92,49.07,7.764,caminhando
72,0.0401,0.0566,1.0062,1.0086,0.0116,2,0.12,2.4,2.46,0.319,deitado
73,-0.0015,0.9753,0.0536,0.9768,0.0267,0.72,1.33,3.31,4.88,1.054,em_pe
74,0.125,0.9714,0.0493,0.9806,0.0374,-0.8,1.74,1.71,6.63,0.318,em_pe
75,0.8543,0.4852,0.123,0.9902,0.096,-45.95,-27.28,23.58,63.49,10.646,queda
76,0.0595,0.0872,0.9846,0.9903,0.0398,-1.44,1.07,-1.28,1.25,0.184,deitado
77,0.0535,-0.0129,0.9737,0.9753,0.0028,1.82,-0.88,1.89,2.82,0.084,deitado
78,0.2836,0.8847,0.0015,0.9291,0.0294,-0.17,0.42,-1.05,3.97,0.334,sentado
79,0.0978,1.0284,-0.0424,1.0339,0.0254,-0.01,-0.28,-4.06,4.53,0.455,em_pe
80,-0.1659,0.9824,0.2161,1.0195,0.2487,-7.88,-29.6,26.56,37.63,2.866,caminhando
81,0.1108,1.0046,0.0259,1.011,0.0123,2.27,-2.33,0.32,4.51,0.767,em_pe
82,-0.108,0.9713,-0.012,0.9774,0.0112,1.26,-1.33,0.61,2.53,0.729,em_pe
83,0.106,0.2233,-0.8526,0.8877,0.3033,25.02,-25.57,-7.11,46.41,5.774,queda
84,0.3277,0.906,-0.0401,0.9643,0.0334,0.94,2.8,-1.11,4,0.458,sentado
85,0.4187,0.8329,0.1002,0.9376,0.023,-0.68,0.82,10.23,6.04,0.492,sentado
86,0.2991,0.8122,0.0229,0.8658,0.0197,0.47,-0.66,1.07,3.05,0.561,sentado
87,0.279,0.9033,0.0537,0.947,0.0319,-0.57,2.22,-1.72,2.72,0.039,sentado
88,-0.1378,1.0455,0.5111,1.1719,0.24,-22.98,14.89,46.32,52.34,6.522,caminhando
89,0.2159,0.9858,0.0541,1.0107,0.0146,2.28,0.23,-6.22,3.69,0.312,sentado
90,0.1881,0.9457,-0.0487,0.9654,0.0301,-0.42,1.57,1.54,1.6,0.331,sentado
91,0.0051,1.0728,0.0558,1.0743,0.0256,-1.65,-1.15,2.3,3.65,0.859,em_pe
92,0.084,1.0032,0.0426,1.0076,0.0337,0.12,0,0.05,0.38,0.717,em_pe
93,0.0855,0.9959,0.0352,1.0002,0.017,3.39,-1.36,-1.29,2.86,0.75,em_pe
94,0.1076,1.0125,0.0304,1.0187,0.0328,-0.67,-2.27,-4.71,4.11,0.213,em_pe
95,0.0689,0.0189,1.0933,1.0956,0.0147,0.87,-0.81,0.55,2.88,0.221,deitado
96,0.3346,0.9287,0.0445,0.9881,0.0251,-0.66,-1.93,0.79,2.25,0.532,sentado
97,0.1881,0.8898,0.1047,0.9155,0.0405,-2.79,-0.18,1.4,4.5,0.445,sentado
98,0.0666,0.0088,1.053,1.0552,0.0166,-0.28,2.91,0.09,2.67,0.24,deitado
99,0.1106,0.8586,0.0431,0.8667,0.0237,-2.45,-1.51,-1.77,3.37,0.416,sentado
100,0.0924,1.1251,-0.0231,1.1291,0.2977,45.55,10.35,36.43,59.63,6.475,caminhando
101,-0.048,0.0418,0.9983,1.0003,0.0401,-1.48,1.14,0.98,2.77,0.544,deitado
102,0.5887,0.2616,1.0148,1.202,0.3634,-6.15,70.07,-55.88,83.84,16.318,queda
103,0.2559,0.9036,0.1121,0.9458,0.0092,-2.25,-1.21,4.18,4.26,0.557,sentado
104,-0.012,0.3,1.3075,1.3415,0.2679,-72.21,7.75,-50.48,80.35,9.419,queda
105,0.6879,0.5152,0.7926,1.1691,0.7546,-10.87,170.5,-40.67,153.4,23.607,queda
106,0.1663,0.0837,1.6497,1.6602,0.1855,27.87,-33.91,-15.04,39.47,12.088,queda
107,-0.0067,0.7464,0.0633,0.7492,0.1825,-12.61,-20.2,-18.03,58.66,3.638,caminhando
108,0.0872,0.017,0.9574,0.9615,0.0351,1.12,3.73,0.23,2.51,0.492,deitado
109,0.0528,0.0669,1.0239,1.0274,0.0241,0.04,0.75,-0.06,1.09,0.201,deitado
110,0.3755,0.8836,0.1136,0.9668,0.0209,0.65,-0.66,0.24,2.15,0.563,sentado
111,0.1921,0.4619,-0.1066,0.5114,1.0516,-71.65,-134.22,96.38,216.47,22.945,queda
112,0.0662,0.1118,1.0086,1.0169,0.009,0.8,1.67,-0.42,1.96,0.55,deitado
113,0.2665,0.9394,0.1145,0.9832,0.0303,0.13,-0.67,0.69,1.62,0.567,sentado
114,0.2831,1.1196,-0.0542,1.1562,0.2439,13.19,-30.99,-3.66,33.9,5.105,caminhando
115,0.1038,0.0467,0.9086,0.9157,0.0138,0.69,-1.92,0.33,2.46,0.102,deitado
116,-0.1108,1.0774,-0.2273,1.1067,0.237,-8.21,-17.68,26.39,26.08,7.312,caminhando
117,0.2253,0.901,0.0282,0.9291,0.2681,-28.03,-18.82,31.23,47.35,8.372,caminhando
118,0.258,0.9425,0.286,1.0182,0.1819,18.73,9.9,19.49,26.77,4.395,caminhando
119,0.2786,0.8664,-0.0072,0.9102,0.0325,0.2,0.68,-0.77,2.79,0.131,sentado
120,0.2247,0.9462,0.1258,0.9807,0.02,-1.05,1.94,-2.5,3,0.406,sentado
121,0.0496,1.0873,-0.1675,1.1012,0.2302,-1.03,-22.32,-37.01,32.36,3.503,caminhando
122,0.0365,0.9944,0.063,0.9971,0.0417,3.58,4.4,0.67,4.23,0.581,em_pe
