timestamp,id_motor,rotacao_rpm,vibracao_rms_mm_s,vibracao_pico_mm_s,corrente_a,tensao_v,temperatura_mancal_c,horas_operacao,falha_em_24h
2025-03-03 06:00:00,M-01,1760,1.21,3.165,11.71,377,51.5,3201,0
2025-03-03 07:00:00,M-01,1750,1.699,4.899,10.87,379.2,54.3,3202,0
2025-03-03 08:00:00,M-01,1758,1.399,4.651,11.23,384.6,51.4,3203,0
2025-03-03 09:00:00,M-01,1756,1.627,5.309,11.47,382,51.6,3204,0
2025-03-03 10:00:00,M-01,1752,1.424,4.348,11.53,382.8,53.3,3205,0
2025-03-03 11:00:00,M-01,1762,1.286,4.014,10.87,382.8,53.7,3206,0
2025-03-03 12:00:00,M-01,1759,1.351,4.005,11.48,374.4,53.1,3207,0
2025-03-03 13:00:00,M-01,1752,1.105,2.432,11.25,378.3,51.8,3208,0
2025-03-03 14:00:00,M-01,1758,1.218,3.988,11.3,384,49.2,3209,0
2025-03-03 15:00:00,M-01,1765,1.465,4.073,11.82,378.5,53,3210,0
2025-03-03 16:00:00,M-01,1759,1.532,4.372,10.88,380.3,51.7,3211,0
2025-03-03 17:00:00,M-01,1756,1.117,3.707,11.43,380.8,51.7,3212,0
2025-03-03 18:00:00,M-01,1746,1.198,3.496,11.12,379.1,53.1,3213,0
2025-03-03 19:00:00,M-01,1760,1.457,4.284,11.22,377.9,51.4,3214,0
2025-03-03 20:00:00,M-01,1765,1.486,5.307,11.38,378.6,49.2,3215,0
2025-03-03 21:00:00,M-01,1762,1.279,4.272,11.51,380.1,51.7,3216,0
2025-03-03 22:00:00,M-01,1755,1.189,3.828,11.36,390.2,51.8,3217,0
2025-03-03 23:00:00,M-01,1759,1.487,4.482,11.58,385.9,51.9,3218,0
2025-03-04 00:00:00,M-01,1760,1.512,4.172,11.29,382.6,50.9,3219,0
2025-03-04 01:00:00,M-01,1751,1.163,3.58,11.81,377.2,54.1,3220,0
2025-03-04 02:00:00,M-01,1770,1.383,4.336,11.24,381.9,50.8,3221,0
2025-03-04 03:00:00,M-01,1750,1.427,5.015,11.13,375.7,50.5,3222,0
2025-03-04 04:00:00,M-01,1755,1.261,3.527,11.66,382.9,53,3223,0
2025-03-04 05:00:00,M-01,1761,1.399,4.376,11.69,375.9,52.3,3224,0
2025-03-04 06:00:00,M-01,1768,1.116,3.634,12.08,383.9,52.4,3225,0
2025-03-04 07:00:00,M-01,1755,1.326,3.357,11.37,378.8,53.9,3226,0
2025-03-04 08:00:00,M-01,1758,1.413,3.877,11.46,381.3,52.4,3227,0
2025-03-04 09:00:00,M-01,1765,1.467,3.191,11.35,374.4,52.4,3228,0
2025-03-04 10:00:00,M-01,1753,1.32,4.362,11.36,382.5,53.3,3229,0
2025-03-04 11:00:00,M-01,1767,1.304,4.271,11.29,379.9,52.7,3230,0
2025-03-04 12:00:00,M-01,1757,1.369,3.937,11.62,379,52.1,3231,0
2025-03-04 13:00:00,M-01,1767,1.171,3.735,11.29,381.3,51.3,3232,0
2025-03-04 14:00:00,M-01,1774,1.592,4.082,11.46,384.7,52.7,3233,0
2025-03-04 15:00:00,M-01,1769,1.048,3.878,11.2,381.5,52.7,3234,0
2025-03-04 16:00:00,M-01,1751,1.18,3.45,11.18,377.5,48.4,3235,0
2025-03-04 17:00:00,M-01,1754,1.476,4.178,11.48,380.9,53.2,3236,0
2025-03-04 18:00:00,M-01,1758,1.594,4.172,11.46,376.4,51.1,3237,0
2025-03-04 19:00:00,M-01,1757,1.203,4.236,11.64,379.9,51.8,3238,0
2025-03-04 20:00:00,M-01,1765,1.124,3.14,10.98,381.5,50.7,3239,0
2025-03-04 21:00:00,M-01,1755,1.397,5.079,11.22,381.6,51.3,3240,0
2025-03-04 22:00:00,M-01,1757,1.269,3.448,11.42,383.9,53.3,3241,0
2025-03-04 23:00:00,M-01,1757,1.504,4.944,11.36,378.5,52.9,3242,0
2025-03-05 00:00:00,M-01,1762,1.315,4.202,11.93,375.6,51.5,3243,0
2025-03-05 01:00:00,M-01,1757,1.225,3.331,11.38,383.2,52.1,3244,0
2025-03-05 02:00:00,M-01,1762,1.249,3.984,11.31,390.5,51.2,3245,0
2025-03-05 03:00:00,M-01,1755,1.468,3.772,10.8,378.9,52.2,3246,0
2025-03-05 04:00:00,M-01,1754,1.312,3.194,11.2,376.7,50.1,3247,0
2025-03-05 05:00:00,M-01,1758,1.178,3.936,11.2,382,52,3248,0
2025-03-05 06:00:00,M-01,1745,1.235,3.137,11.72,380.2,54,3249,0
2025-03-05 07:00:00,M-01,1766,1.581,4.574,11.58,381.1,50.9,3250,0
2025-03-05 08:00:00,M-01,1752,1.17,3.211,11.65,382.4,50,3251,0
2025-03-05 09:00:00,M-01,1762,1.167,3.977,11.37,377.5,52.4,3252,0
2025-03-05 10:00:00,M-01,1756,1.48,4.314,11.77,381.4,50,3253,0
2025-03-05 11:00:00,M-01,1767,1.466,4.965,11.19,381.3,51.5,3254,0
2025-03-05 12:00:00,M-01,1767,1.074,3.449,11.32,380.9,51.7,3255,0
2025-03-05 13:00:00,M-01,1753,1.416,4.102,11.45,379.5,52.4,3256,0
2025-03-05 14:00:00,M-01,1756,1.255,3.612,11.49,382.6,52.2,3257,0
2025-03-05 15:00:00,M-01,1763,1.279,4.478,11.5,380,54.4,3258,0
2025-03-05 16:00:00,M-01,1747,1.264,3.834,11.64,381,51.3,3259,0
2025-03-05 17:00:00,M-01,1755,1.328,3.772,11.58,382.6,52.5,3260,0
2025-03-05 18:00:00,M-01,1763,1.194,3.593,11.49,378.9,50.3,3261,0
2025-03-05 19:00:00,M-01,1763,1.273,3.456,11.21,385.3,50.8,3262,0
2025-03-05 20:00:00,M-01,1768,1.329,4.125,10.87,374.9,51.2,3263,0
2025-03-05 21:00:00,M-01,1760,1.603,4.78,11.76,387.9,51.3,3264,0
2025-03-05 22:00:00,M-01,1759,1.242,3.652,11.61,383,51.2,3265,0
2025-03-05 23:00:00,M-01,1753,1.358,3.666,11.24,383.4,51.1,3266,0
2025-03-06 00:00:00,M-01,1758,1.61,4.274,10.95,383.5,51.7,3267,0
2025-03-06 01:00:00,M-01,1747,1.463,3.721,11.84,374.2,52.3,3268,0
2025-03-06 02:00:00,M-01,1756,1.209,3.738,11.41,381.1,50.9,3269,0
2025-03-06 03:00:00,M-01,1754,1.184,3.429,11.44,383.1,54.9,3270,0
2025-03-06 04:00:00,M-01,1765,1.414,4.108,11.54,375.6,49.1,3271,0
2025-03-06 05:00:00,M-01,1765,1.414,4.219,11.57,379.4,52.4,3272,0
2025-03-06 06:00:00,M-01,1760,1.127,2.677,11.72,382.7,51.9,3273,0
2025-03-06 07:00:00,M-01,1757,1.396,4.018,11.3,381.7,51.7,3274,0
2025-03-06 08:00:00,M-01,1751,1.282,4.096,11.31,373.7,52,3275,0
2025-03-06 09:00:00,M-01,1754,1.179,3.043,10.79,375.8,52.3,3276,0
2025-03-06 10:00:00,M-01,1756,1.239,3.941,11.36,378.5,52,3277,0
2025-03-06 11:00:00,M-01,1760,1.414,4.19,11.36,378.9,52,3278,0
2025-03-06 12:00:00,M-01,1764,1.13,3.381,10.95,381.2,50.5,3279,0
2025-03-06 13:00:00,M-01,1762,1.237,3.758,11.22,376.3,53.9,3280,0
2025-03-06 14:00:00,M-01,1771,1.558,4.245,12.1,382.7,53.2,3281,0
2025-03-06 15:00:00,M-01,1769,1.551,4.435,11.33,384,52.3,3282,0
2025-03-06 16:00:00,M-01,1764,1.155,3.797,11.83,381.8,51.8,3283,0
2025-03-06 17:00:00,M-01,1769,1.5,4.643,11.4,384.5,50.7,3284,0
2025-03-06 18:00:00,M-01,1755,1.558,4.695,11.94,385.4,48.9,3285,0
2025-03-06 19:00:00,M-01,1753,1.69,4.721,11.53,378.9,53.6,3286,0
2025-03-06 20:00:00,M-01,1763,1.114,3.049,11.07,382.4,56.7,3287,0
2025-03-06 21:00:00,M-01,1764,1.461,3.964,11.57,377.9,51.9,3288,0
