timestamp,ambiente,co2_ppm,pm2_5_ugm3,pm10_ugm3,cov_ppb,temperatura_c,umidade_pct,janela_aberta,ventilacao_ligada,classe_qualidade
2025-03-03 00:00:00,sala_aula,451,13.9,26.5,125,24.1,62.4,0,0,boa
2025-03-03 00:20:00,sala_aula,454,7.7,11.8,109,21.9,59,0,0,boa
2025-03-03 00:40:00,sala_aula,440,12.1,23.9,127,22.3,61.2,0,0,boa
2025-03-03 01:00:00,sala_aula,419,10.4,23.4,59,22.7,55.3,0,0,boa
2025-03-03 01:20:00,sala_aula,426,7,6.4,116,22.3,63.6,0,0,boa
2025-03-03 01:40:00,sala_aula,437,18.9,33,175,24.1,62,0,0,boa
2025-03-03 02:00:00,sala_aula,463,13.9,24.9,40,22.7,63.3,0,0,boa
2025-03-03 02:20:00,sala_aula,479,10.9,19.2,63,23.4,59,0,0,boa
2025-03-03 02:40:00,sala_aula,497,16.3,30.3,191,23,59.9,0,0,boa
2025-03-03 03:00:00,sala_aula,528,6.5,13.2,124,23,61.9,0,0,boa
2025-03-03 03:20:00,sala_aula,549,12.2,32.8,119,22.1,55.5,0,0,boa
2025-03-03 03:40:00,sala_aula,564,3.9,7.7,140,23,59,0,0,boa
2025-03-03 04:00:00,sala_aula,571,12.9,24.4,91,23.6,56.7,0,0,boa
2025-03-03 04:20:00,sala_aula,556,8.6,15.2,105,23,58.3,0,0,boa
2025-03-03 04:40:00,sala_aula,554,15,34.3,239,22.5,59.8,0,0,boa
2025-03-03 05:00:00,sala_aula,572,10.2,14.3,122,22.5,57.6,0,0,boa
2025-03-03 05:20:00,sala_aula,568,8,14.6,182,24,59.3,0,0,boa
2025-03-03 05:40:00,sala_aula,539,11.2,20.7,166,22.9,59.2,0,0,boa
2025-03-03 06:00:00,sala_aula,530,9.3,14.5,185,23.3,55.7,0,0,boa
2025-03-03 06:20:00,sala_aula,531,12.2,28.3,55,23.1,60,0,0,boa
2025-03-03 06:40:00,sala_aula,551,14.7,24,111,23,57,0,0,boa
2025-03-03 07:00:00,sala_aula,551,9,13.2,106,23.1,61.2,0,0,boa
2025-03-03 07:20:00,sala_aula,559,8.1,21.3,86,22.5,62.6,0,0,boa
2025-03-03 07:40:00,sala_aula,553,12.5,23.6,194,23.5,58.5,0,0,boa
2025-03-03 08:00:00,sala_aula,584,18.2,33.9,150,25,62.9,0,0,boa
2025-03-03 08:20:00,sala_aula,609,27.6,51.7,280,25.4,66.3,1,0,moderada
2025-03-03 08:40:00,sala_aula,653,21,43,341,24.8,56,0,0,boa
2025-03-03 09:00:00,sala_aula,707,21.2,48.7,274,25.5,59.1,0,0,boa
2025-03-03 09:20:00,sala_aula,745,30.8,62.7,276,24.9,71.1,1,0,moderada
2025-03-03 09:40:00,sala_aula,804,24.4,47.8,343,25.2,60.9,0,0,moderada
2025-03-03 10:00:00,sala_aula,812,38.7,78.3,272,25.3,68.7,1,0,ruim
2025-03-03 10:20:00,sala_aula,860,22.3,32.5,354,25.3,57.3,0,0,moderada
2025-03-03 10:40:00,sala_aula,902,31.3,65.4,359,25.6,68,1,0,moderada
2025-03-03 11:00:00,sala_aula,926,15.7,27.1,294,26,61.5,0,0,boa
2025-03-03 11:20:00,sala_aula,976,19.2,34.1,295,24.8,57.7,0,0,boa
2025-03-03 11:40:00,sala_aula,1029,14.1,24.7,382,24.9,54.4,0,0,boa
2025-03-03 12:00:00,sala_aula,1074,23,47.3,268,25.2,59.6,0,0,moderada
2025-03-03 12:20:00,sala_aula,1104,17.2,32.2,280,25.6,57.1,0,0,boa
2025-03-03 12:40:00,sala_aula,1138,22.3,44.6,320,25,62.8,0,0,moderada
2025-03-03 13:00:00,sala_aula,1120,11.4,19.4,163,23.9,56.6,0,0,boa
2025-03-03 13:20:00,sala_aula,1127,9.3,19.5,63,23.7,56.1,0,0,boa
2025-03-03 13:40:00,sala_aula,1129,13.1,29.2,145,23,58.7,0,0,boa
2025-03-03 14:00:00,sala_aula,1188,19.4,35.3,335,25.6,62.3,0,0,moderada
2025-03-03 14:20:00,sala_aula,1174,31.8,68.8,235,24.8,65.4,1,0,ruim
2025-03-03 14:40:00,sala_aula,1209,23.2,38.9,344,25.9,58.1,0,0,moderada
2025-03-03 15:00:00,sala_aula,1187,28.4,45.2,254,25.1,68.4,1,0,ruim
2025-03-03 15:20:00,sala_aula,1234,26.3,48,318,25.6,54.9,0,0,moderada
2025-03-03 15:40:00,sala_aula,1306,22.8,48.9,305,26.2,59.6,0,0,moderada
2025-03-03 16:00:00,sala_aula,1354,20.9,41,284,25.2,58.7,0,0,boa
2025-03-03 16:20:00,sala_aula,1316,26.3,59,280,26.3,68.7,1,0,moderada
2025-03-03 16:40:00,sala_aula,1279,28.4,61.7,355,25.4,67.4,1,0,moderada
2025-03-03 17:00:00,sala_aula,1260,29.5,57.9,322,26.3,67,1,0,ruim
2025-03-03 17:20:00,sala_aula,1267,27.2,46.8,291,24.7,61.6,1,0,moderada
2025-03-03 17:40:00,sala_aula,1299,22.9,44.8,446,25.5,58.9,0,0,moderada
2025-03-03 18:00:00,sala_aula,1359,19.6,32,240,25.7,57.3,0,0,moderada
2025-03-03 18:20:00,sala_aula,1381,16.6,39.3,226,25.9,60.3,0,0,moderada
2025-03-03 18:40:00,sala_aula,1415,23.8,45.6,269,24,59.2,0,0,boa
2025-03-03 19:00:00,sala_aula,1359,11,14.3,40,22.4,60.3,0,0,moderada
2025-03-03 19:20:00,sala_aula,1349,8.7,21.2,113,23.3,59.4,0,0,moderada
2025-03-03 19:40:00,sala_aula,1334,6.9,16.9,138,22.4,61.8,0,0,moderada
2025-03-03 20:00:00,sala_aula,1315,7,16,148,23.1,63.4,0,0,boa
2025-03-03 20:20:00,sala_aula,1304,10.1,21.6,210,23.9,59.8,0,0,boa
2025-03-03 20:40:00,sala_aula,1287,8.4,12.9,158,23.5,57.4,0,0,boa
2025-03-03 21:00:00,sala_aula,1267,13.9,30.2,91,24.1,56.1,0,0,boa
2025-03-03 21:20:00,sala_aula,1266,8.8,24.5,94,23.7,59.7,0,0,moderada
2025-03-03 21:40:00,sala_aula,1252,10.8,23.8,154,23.1,57.7,0,0,moderada
2025-03-03 22:00:00,sala_aula,1272,9.5,21.1,212,22.6,63.1,0,0,moderada
2025-03-03 22:20:00,sala_aula,1262,5.6,11.6,128,23.6,56.6,0,0,moderada
2025-03-03 22:40:00,sala_aula,1266,4.5,6.3,151,24,59.2,0,0,boa
2025-03-03 23:00:00,sala_aula,1267,8.8,15.4,194,23.3,56.6,0,0,boa
2025-03-03 23:20:00,sala_aula,1246,9,19.5,193,21.9,61.8,0,0,boa
2025-03-03 23:40:00,sala_aula,1225,12.2,23.9,103,23.1,58.1,0,0,boa
