id_janela,distancia_media_cm,distancia_min_cm,distancia_max_cm,desvio_padrao_cm,variacao_cm_por_s,leituras_validas,eco_perdido_pct,situacao
1,184.27,180.14,187.96,1.87,2.28,18,12,livre
2,188.49,184.32,192.2,1.339,0.85,17,17,livre
3,41.24,19.18,62.03,10.824,-15.9,19,7,aproximando
4,58.43,55.4,62.43,0.974,0.11,19,7,objeto_parado
5,55.73,53.18,56.75,0.1,0.48,17,15.6,objeto_parado
6,170.7,165.89,176.23,1.695,-0.28,20,3.5,livre
7,159.2,154.38,166.27,1.714,-0.94,19,5.1,livre
8,79,71.4,86.61,3.822,8.56,19,7.7,afastando
9,91.47,78.62,105.36,6.67,8.92,17,17.3,afastando
10,73.99,68.8,79.06,2.522,-8.89,19,6.6,aproximando
11,58.03,55.25,63.38,1.056,0.33,17,15.9,objeto_parado
12,194.9,189.48,200.04,2.321,0.5,20,1.3,livre
13,52.84,49.35,54.24,0.388,-0.63,18,10.8,objeto_parado
14,150.06,143.71,155.25,2.483,1,18,10.7,livre
15,174.14,170.95,178.3,1.399,1.09,19,6.4,livre
16,169.73,165.98,175.54,1.559,1.51,20,3.2,livre
17,191.39,187.84,193.36,0.989,-0.08,17,16.7,livre
18,87.15,65.61,107.33,10.46,-6.76,20,0,aproximando
19,106.73,88,124.29,9.194,20.63,18,12.4,afastando
20,169.54,166.91,174.01,1.082,0.54,19,7.1,livre
21,13.91,9.93,19.22,1.571,1.16,18,11.8,objeto_parado
22,105.66,82.77,127.73,11.588,-19.56,20,1.2,aproximando
23,94.78,77.31,111.23,8.585,15.85,20,0.8,afastando
24,81.44,65.63,99.23,8.125,22.5,18,10.1,afastando
25,77.53,72.46,82.28,1.434,-0.16,20,2.7,objeto_parado
26,42.47,27.07,57.44,7.655,10.57,17,18.3,afastando
27,195.93,190.05,200.41,1.78,-1.61,20,2.7,livre
28,95.54,72.91,120.54,11.413,-24.94,19,6.2,aproximando
29,55.72,28.22,81.73,13.44,-21,20,2.5,aproximando
30,46.93,30.1,63.27,8.077,-28.77,20,0.9,aproximando
31,42.16,38.19,45.76,0.971,-0.45,20,3.8,objeto_parado
32,189.08,183.04,195.99,2.576,0.96,18,10.6,livre
33,99.86,77.87,122.34,11.549,-17.32,20,0.7,aproximando
34,174.16,168.44,180.82,2.867,0.26,19,6,livre
35,64.53,60.34,70.83,1.686,0.53,19,8.9,objeto_parado
36,133.24,130.98,135.82,0.922,0.95,20,1.9,livre
37,82.4,67.66,96.13,6.898,16.44,19,8.5,afastando
38,75.94,69.95,80.08,1.615,0.13,20,0.7,objeto_parado
39,95.92,69.22,123.33,13.82,-22.05,19,6,aproximando
40,12.49,9.61,15.24,0.619,0.03,20,1,objeto_parado
41,66.55,46.69,86.37,9.83,22.86,19,8.1,afastando
42,179.03,171.11,186.51,2.719,-0.2,17,16.1,livre
43,24.77,7.09,41.99,8.152,-20.47,19,5.9,aproximando
44,188.52,184.86,194.34,1.913,-0.53,18,12.3,livre
45,97.72,82.09,112.16,7.295,-27.79,17,17.7,aproximando
46,47.3,43.58,49.91,1.174,-1.38,19,8.4,objeto_parado
47,89.78,73.31,105.96,6.941,-27.05,17,17,aproximando
48,62.73,57.57,66.72,1.284,-0.92,19,6.5,objeto_parado
49,177.98,170.82,183.96,1.97,-0.32,17,16,livre
50,157.73,154.66,160.67,0.772,1,20,2.5,livre
51,72.5,56.94,87.64,6.8,-12.56,20,0,aproximando
52,16.44,13.51,19.47,0.926,-0.59,19,5.9,objeto_parado
53,36.7,32,40.59,0.851,-1.74,19,6.7,objeto_parado
54,180.39,174.89,186.98,2.092,-0.4,18,12.3,livre
55,44.39,40.27,47.5,1.123,0.86,18,11.7,objeto_parado
56,126.49,113.15,139.47,6.65,22.49,19,6.3,afastando
57,55.75,52.68,58.88,0.989,0.01,18,13.2,objeto_parado
58,183.38,175.79,189.28,2.922,1.88,20,0.8,livre
59,13.34,11.81,17.94,0.741,0.83,20,2.2,objeto_parado
60,173.98,166.09,179.86,2.329,-0.16,20,1.4,livre
61,193.95,188.93,199.77,1.609,0.36,20,0.4,livre
62,60.64,53.76,64.67,1.638,1.43,18,11.7,objeto_parado
63,80.02,71.04,88.71,3.99,3.94,20,2.1,afastando
64,106.08,77.04,134.64,13.961,18.98,18,11.1,afastando
65,198.83,197.74,200.79,0.219,0.19,20,0.3,livre
66,105.76,86.84,123.84,9.405,19.3,19,6.3,afastando
67,176.09,171.99,181.32,2.149,0.31,19,7.5,livre
68,82.93,74.07,94.95,4.519,-3.05,18,10.6,aproximando
69,47.84,44.96,53.66,0.7,0.38,20,0.6,objeto_parado
70,148.81,145.9,150.51,0.767,0.91,20,1,livre
71,43.16,36.78,48.34,1.565,-1.9,20,4.2,objeto_parado
72,184.65,180.37,188.09,1.44,0.43,20,1,livre
73,122.7,113.04,134.07,4.727,2.59,19,8.2,afastando
74,186.6,180.9,191.87,2.098,-0.63,20,0.6,livre
75,13.83,9.33,19.31,1.879,-1.25,18,10.8,objeto_parado
76,76.56,70.31,82.94,2.525,3.7,19,9.3,afastando
77,103.1,81.77,123.77,10.767,15.25,16,23.6,afastando
78,40.92,13.76,67.3,13.042,-17.35,20,3,aproximando
79,70.84,68.15,72.97,0.938,0.25,20,0.5,objeto_parado
80,83.92,79.31,88.09,1.652,-0.32,19,7,objeto_parado
81,62.14,44.23,81.19,9.329,16.04,18,10.5,afastando
82,78.3,65.72,92.56,6.348,-17.8,16,20.2,aproximando
83,90.44,75.03,105.31,7.64,-20.34,17,15.3,aproximando
84,8,3.76,14.21,1.9,0.88,20,2,objeto_parado
85,72.37,59.31,84.77,6.046,19.69,20,1.6,afastando
86,53.88,44.02,63.45,4.67,-17.7,18,11.9,aproximando
87,85.95,56.28,114.23,14.623,22.16,20,0.7,afastando
88,45.27,29.03,63.37,8.273,18.41,20,1.3,afastando
89,54.72,25.94,85,14.37,-12.35,19,5.7,aproximando
90,165.99,163.52,168.39,0.727,-0.72,18,11.5,livre
91,165.1,157.73,170.88,2.454,-0.2,18,11.1,livre
92,53.47,51.57,56.17,0.743,-1.39,19,5.7,objeto_parado
93,46.1,32.74,59.05,5.859,-14.59,18,11.4,aproximando
94,25.28,20.98,26.65,0.615,0.11,20,2.5,objeto_parado
95,151.71,145.68,157.35,1.814,-0.84,19,7.1,livre
96,179.13,172.29,184.99,2.308,0.57,19,7.3,livre
97,161.29,153.65,167.01,2.825,-0.72,17,18.3,livre
98,31.81,29.59,34.85,1.081,0.72,19,5.1,objeto_parado
99,181.58,179.46,184.49,0.883,-0.41,20,1.4,livre
100,39.33,35.1,43.48,1.211,-0.73,19,6.3,objeto_parado
101,64.91,57.38,69.19,2.225,-6.18,19,6.3,aproximando
102,84.59,67.12,103.29,9.073,18.81,18,10.6,afastando
103,51.93,34.95,68.71,7.774,24.88,19,5.7,afastando
104,95.24,78.92,111.06,7.448,13.98,18,11.3,afastando
105,32.43,28.69,37.08,1.419,0.47,20,0.9,objeto_parado
106,79.56,61.71,97.42,8.813,16.18,20,1.6,afastando
107,24.99,22.77,29.12,1.014,1.25,20,0.8,objeto_parado
108,100.66,79.47,122.15,10.618,16.83,19,6.8,afastando
109,43.55,39.42,46.34,1.125,-0.92,19,7.9,objeto_parado
110,78.8,57.64,98.96,9.364,-30.83,20,0.7,aproximando
111,62.94,45.66,81.2,8.739,-30.31,19,7.7,aproximando
112,72.91,44.34,100.73,14.61,-24.16,19,6.3,aproximando
113,139.1,125.55,151.78,5.605,26.85,18,11.3,afastando
114,35.33,31.32,38.47,1.404,0.07,18,10.2,objeto_parado
115,61.15,43.82,77.92,8.124,-24.49,17,15.4,aproximando
116,186.59,181.91,190.89,1.452,0.31,20,2.2,livre
117,49.32,46.66,51.93,0.726,0.91,17,15.1,objeto_parado
118,41.01,39.42,42.16,0.53,-1.04,19,5.8,objeto_parado
119,152.84,146.3,159.42,1.839,-0.2,19,5.2,livre
120,55.88,53.8,60.41,0.823,-0.21,19,6.1,objeto_parado
121,71.43,53.32,88.48,8.673,-13.14,18,12.2,aproximando
122,55.31,29.36,83.17,13.644,-21.52,20,0,aproximando
123,91.64,69.98,112.86,10.083,-21.65,20,3,aproximando
124,91.28,71.74,109.12,9.351,25.32,16,20.4,afastando
125,91.93,82.8,100.27,3.185,2.36,20,1.2,afastando
126,178.52,174.03,181.73,1.658,1.27,18,10.5,livre
127,93.79,91.81,96.33,0.1,-0.58,18,10.7,objeto_parado
128,192.47,184.56,199.26,2.838,0.38,19,8.1,livre
129,72.72,64.66,82.97,4.03,-4.48,18,10.9,aproximando
130,53.08,27.98,77.81,12.804,-25.35,20,1.6,aproximando
131,211.36,206.86,215.54,2.153,-0.56,19,6.8,livre
132,18.94,16.85,23.35,1.092,-0.54,19,5.6,objeto_parado
133,73.98,59,88.8,7.301,18.71,19,6.5,afastando
134,64.12,50.56,76.36,6.214,20.5,20,5.5,afastando
135,62.07,44.21,79.56,8.346,25.34,19,7.5,afastando
136,83.16,56.19,111.41,13.426,-21.69,17,16.1,aproximando
137,84.3,73.3,92.67,3.765,4.1,17,15.3,afastando
138,68.99,47.75,90.69,10.251,29.49,19,7.2,afastando
139,155.84,153.7,157.61,0.384,-2.25,20,0.7,livre
140,40.91,36.15,47.33,1.962,-1.37,18,10.2,objeto_parado
141,195.16,187.51,203.34,2.879,-1.1,19,6,livre
142,72.74,66.33,80.25,2.367,1.59,18,11.4,objeto_parado
143,163.28,161.08,167.5,0.743,-0.32,18,12.6,livre
144,71.18,61.81,79.96,3.869,4.57,18,10.8,afastando
145,53.52,34.59,72.44,9.007,17.45,20,0.3,afastando
146,43.83,40.74,46.42,1.145,-0.03,17,15.6,objeto_parado
147,44.88,39.8,49.54,2.334,0.34,20,0.5,objeto_parado
148,58.05,46.65,71.1,5.206,22.3,18,11.5,afastando
149,158.67,155.42,162.91,0.897,1.43,20,1.4,livre
150,59.35,57.32,60.59,0.379,-0.74,18,11.5,objeto_parado
151,93.58,88.4,99.25,2.27,2.51,18,10.6,afastando
152,47.97,45.84,49.61,0.48,-1.87,14,30.2,objeto_parado
153,36.82,18.64,55.63,8.802,10.11,20,2,afastando
154,39.6,15.3,62.67,11.145,16.83,20,1.1,afastando
155,120.54,116.83,123.42,1.315,9.76,19,6.5,afastando
156,195.46,189.43,199.32,1.984,-0.3,20,1.1,livre
157,174.27,172.28,177.71,0.833,-1,19,6.4,livre
158,65.63,48.54,82.61,8.639,7.15,20,0.5,afastando
159,166.81,163.1,171.49,0.826,0.14,19,6,livre
160,105.31,79.75,131.59,12.866,12.34,19,5.6,afastando
161,177.67,174.67,179.55,0.474,0.08,19,6.8,livre
162,89.42,68.04,109.67,10.319,18.18,20,1.3,afastando
163,67.97,58.63,75.52,3.866,5.5,17,16,afastando
164,94.05,90.82,97.61,0.776,0.77,16,23.6,objeto_parado
165,167.99,163.62,172.62,1.458,1.59,19,6.6,livre
166,180.71,177.74,185.27,1.461,0.95,19,6.7,livre
167,183.06,181.65,186.68,0.553,-0.07,20,1.6,livre
168,63.49,41.65,84.96,10.42,12.83,19,5,afastando
169,186.37,181.43,189.39,1.035,-0.31,16,22.2,livre
170,169.45,163.84,176.25,2.315,1.03,20,1.9,livre
171,199.53,199.09,202.44,0.2,0.94,18,11.3,livre
172,70.27,64.77,75.3,1.757,0.54,17,16.8,afastando
173,162.44,158.6,165.88,1.698,0.35,19,5.3,livre
174,64.19,42.94,85.4,10.341,17.46,20,2.2,afastando
175,46.53,44.01,50.98,0.795,0.7,19,6.7,objeto_parado
176,94.09,89.72,97.88,0.763,0.01,19,5.2,objeto_parado
177,21.1,17.5,25.4,1.298,0.58,19,8,objeto_parado
178,178.78,172.79,184.3,2.17,-0.81,18,11.4,livre
179,59.25,56.06,64.79,1.458,0.07,19,5.4,objeto_parado
180,38.09,35.22,40.47,0.981,1.7,17,18.2,objeto_parado
181,50.34,47.22,53.61,0.498,1.35,18,13.3,objeto_parado
182,186.3,180.6,190.43,2.005,0.87,20,0.8,livre
183,176.71,170.79,181.22,1.592,0.22,18,10.6,livre
184,30.6,27.33,33.92,1.126,0.4,18,11.1,objeto_parado
185,36.59,32.7,41.15,1.279,-0.13,20,3.4,objeto_parado
186,86.5,71.88,103.28,7.453,15.54,18,12.8,afastando
187,103.14,84,121.78,8.792,-15.58,18,11.2,aproximando
188,53.05,48.79,57.4,1.265,0.74,19,7.6,objeto_parado
189,68.37,59.95,75,3.044,2.29,20,3.1,afastando
190,194.47,189.76,200.36,2.34,-0.31,20,1.5,livre
191,164.2,158.21,169.12,2.061,0.33,19,5.3,livre
192,21.39,2,40.53,9.735,26.25,18,12.7,afastando
193,54.09,51.68,57,0.986,-0.01,16,20.7,objeto_parado
194,79.68,61.01,99.41,9.371,-16.76,15,29.5,aproximando
195,33.74,29.46,37.24,1.294,0.56,20,1,objeto_parado
196,49.25,27.86,67.34,9.374,18.96,20,2.2,afastando
197,104.81,94.94,114.15,4.398,4.01,20,1.5,afastando
198,163.67,159.03,168.89,1.773,-0.48,20,1,livre
199,187.13,182.28,191.8,1.337,-0.44,20,0.6,livre
200,190.77,186.21,195.67,1.873,2.48,20,1.6,livre
201,33.88,8.59,59.36,12.493,-30.44,20,2,aproximando
202,12.68,8.51,17.75,0.902,-0.97,19,6.5,objeto_parado
203,55.93,52.82,59.12,1.344,1.25,18,10.2,objeto_parado
204,39.64,35.37,43.74,1.049,1.54,19,6.5,objeto_parado
205,93,65.25,118.33,12.676,18.52,17,15.6,afastando
206,74.67,68.46,82.11,2.598,-3.9,18,10.6,aproximando
207,98.09,83.07,114.37,7.338,-25.03,18,10.2,aproximando
208,73.52,63.37,83.8,3.985,-3.91,19,6.4,aproximando
209,72.21,67.04,76.38,2.098,4.16,19,5.7,afastando
210,61.32,47.92,75.68,6.533,-28.74,19,5.3,aproximando
211,173.77,171.77,177.19,0.743,-0.29,18,10.5,livre
212,47.23,42.57,50.46,1.5,-0.18,20,2.7,objeto_parado
213,121.2,101.53,139.68,8.998,28.22,19,6.5,afastando
214,69.88,64.11,75.11,2.23,-0.38,20,1.6,objeto_parado
215,190.23,184.83,194.38,2.089,1.7,19,5.6,livre
216,81.36,68.96,93.98,5.446,-3.49,20,1.5,aproximando
217,52.35,33.66,70.42,9.394,-24.97,20,0.1,aproximando
218,66.68,59.19,75.84,2.69,3.23,19,7.9,afastando
219,49.24,44.74,54.42,1.371,-0.57,20,1.8,objeto_parado
220,19.9,17.71,25.42,0.911,-0.78,18,10.2,objeto_parado
221,187.44,181.61,191.39,1.994,0.58,18,12.9,livre
222,190.61,185.91,197.04,1.772,-0.23,20,0.9,livre
223,76.15,69.72,80.82,1.994,0.9,20,2.4,objeto_parado
224,87.36,72.08,101.42,7.308,28.7,17,17.3,afastando
225,87.44,69.81,105.68,8.917,16.62,16,21.1,afastando
226,55.67,44.12,68.55,5.868,-17.9,18,10,aproximando
227,37.92,35.79,41.53,0.961,-0.48,17,16.1,objeto_parado
228,62.13,47.95,78.81,7.239,-19.27,19,5.2,aproximando
229,27.51,25.59,29.95,0.308,-0.6,17,17.2,objeto_parado
230,168.72,164.38,174.76,1.704,-0.06,20,1.1,livre
231,99.22,77.34,122.56,10.715,20.78,19,7.7,afastando
232,55.65,36.21,76.92,10.003,24.94,18,13.1,afastando
233,74.9,51.24,99.7,11.832,-16.68,20,0.9,aproximando
234,160.63,154.54,166.05,2.286,1.57,17,15.1,livre
235,82.18,77.48,85.89,1.589,-0.71,17,18.2,objeto_parado
236,165.57,162.04,169.8,1.661,0.06,18,12.4,livre
237,92.61,87.34,96.37,1.886,5.88,18,12.1,afastando
238,8.07,4.64,12.31,1.74,-1.32,20,0.1,objeto_parado
239,159.85,154.66,165.81,2.446,2,17,15,livre
240,19.51,15.28,23.49,1.181,0.73,19,6.9,objeto_parado
241,43.15,40.06,47.79,1.568,-0.52,17,17.1,objeto_parado
242,45.28,41.92,46.84,0.502,-0.58,20,1.5,objeto_parado
243,104.49,90.17,118.47,5.738,-22.25,20,0.6,aproximando
244,82.64,57.78,109.14,12.571,17.16,19,6.3,afastando
245,50.13,23.23,73.69,12.207,-39.1,19,5.9,aproximando
246,184.21,181.57,187.62,0.683,2.14,19,5.9,livre
247,62.98,53.11,71.68,4.132,-4.86,17,15.5,aproximando
248,84.49,81.78,85.8,0.6,2.58,20,2.3,afastando
249,70.42,64.92,74.18,1.581,0.23,18,11.2,objeto_parado
250,61.03,58.15,64.36,0.867,1.81,20,1.4,objeto_parado
251,59.1,53.8,62.99,1.853,-0.71,20,3.4,objeto_parado
252,175.94,170.32,180.43,2.052,-0.17,20,0.6,livre
253,56.27,51.88,60.19,1.268,-6.2,17,18.9,aproximando
254,27.22,11.05,42.19,7.558,-29.11,19,5.5,aproximando
255,72.2,66.77,77.46,1.838,-0.74,19,6.3,objeto_parado
256,23.12,14.96,31.68,3.361,-4.5,17,16.8,aproximando
257,191.34,187.59,195.19,0.951,0.48,19,5.1,livre
258,182.21,177.71,187.47,1.721,-0.8,19,6.7,livre
259,182.33,179.76,186.67,1.076,-0.93,20,0.1,livre
260,191.97,187.64,195.08,0.921,1.04,20,2.1,livre
261,63.04,44.39,79.56,7.759,11.67,20,1.1,afastando
262,33.8,19.81,49.29,7.16,-21.08,19,6.9,aproximando
263,122.85,116.62,127.51,2.355,4.19,19,7,afastando
264,20.66,17.63,22.85,1.113,-6.34,16,20.4,aproximando
265,66.28,41.27,91.47,12.173,-18.85,20,2.1,aproximando
266,89.83,78.34,102.65,5.386,-3.76,17,18.5,aproximando
267,66.53,56.54,78.4,4.876,-21.44,17,15.8,aproximando
268,63.88,60.73,69.47,0.6,-5.9,17,16.3,aproximando
269,93.35,77.38,108.29,6.905,-4.61,20,2.3,aproximando
270,77.87,62.45,93.96,7.984,10.49,16,22,afastando
